Row,Size,Type,Style,Name,Handling,Speed,Acceleration,Body,Armor,Pilot,Sensor,Availability,Cost,Description,Source,StandardUpgrade
11,Mini,NULL,NULL,"Horizon CU^3",4,1P,1,1(1),0,2,3,4,"3,000¥","A simple single-fan vectored thrust drone, the CU is a cheaper version of the professional camera drones used by most major trideo broadcasters. The fan traded off speed for stability and whisper-quiet operation, allowing the camera to focus on the target without overwhelming the sound with the typical whirly-whoosh. Hugely popular with the P2 crowd, where it follows them everywhere and records their day, allowing them to do live updates or edit the footage later. The professional version has an improved camera, Pilot, and software, and usually operates in threes (thus the cubed designation), allowing for three camera angles in any given scene.",SR5:R5.0,"Clearsight (2) Autosoft"
12,Mini,NULL,NULL,"Pigeon 2.0",4,2P,1,1(1),0,2,2,8,"3,000¥","Saeder-Krupp’s small Festo subsidiary mastered the art of lifelike simulation for drones, producing the first realistic flying “bird drone” almost fifty years ago. The design has continued to be refined over the decades, and now stands as a work of art. The baseline model is a chrome-plated beauty, but a more lifelike model is available and is commonly used as a surveillance drone.",SR5:R5.0,"Sony Nightingale, Renraku Bluebird"
13,Mini,NULL,NULL,"Remote Cyberhand",0,0,0,0,0,0,0,8,"8,000¥",,SR5:R5.0,
14,Small,Walker,Insectoid,"Aztechnology Crawler",4,3,1,3,3,4,3,4,"4,000¥","This small crawler can easily handle stairs and other obstacles. Designed to operate as a remote snooper in rough rural or urban terrain, the Crawler is efficient and robust. Its Pilot program is a step above most drones in its class. This drone is operated with the Pilot Walker skill.",Core,
15,Small,Aircraft,Plane,"Lockheed Optic-X2",4,4,3,2,2,3,3,10,"21,000¥","This VSTOL stealth craft is only the size of a cyberdeck with its wings folded up for transport. When it is deployed, it is the size of a large hawk or other bird of prey. Its patented signature-limiting technology makes it a favorite of intelligence agencies and shadowrunners; radar systems and visual and audio Perception Tests all receive a –3 dice pool penalty to spot the Optic-X2. This drone is operated with the Pilot Aircraft skill.",Core,
16,Small,NULL,NULL,Bloodhound,3,1G,1,2(0),0,2,4,8,"10,000¥",,SR5:R5.0,
17,Small,NULL,NULL,"Castle Guard",4/2,1G,1,2(0),6,3,2,8R,"10,000¥",,SR5:R5.0,
18,Small,NULL,NULL,"Ferret RPD-5X",4/2,1G,1,2(1),3,3,3,8R,"4,000¥",,SR5:R5.0,
19,Small,NULL,NULL,"Gun Turret",0,0,0,2(0),6,3,2,4R,"4,000¥",,SR5:R5.0,
20,Small,NULL,NULL,Jardinero,2/4,1G,1,2(1),0,2,2,4,"2,000¥",,SR5:R5.0,
21,Small,NULL,NULL,Job-a-Mat,0,0,0,2(2),0,2,2,4,"3,000¥",,SR5:R5.0,
22,Small,NULL,NULL,"Knight Errant P5",4/2,6G,2,2(1),0,3,2,10R,"8,000¥",,SR5:R5.0,
23,Small,NULL,NULL,Krake,5,3W,4,2(0),2,4,3,18F,"10,000¥",,SR5:R5.0,
24,Small,NULL,NULL,Mini-Zep,2,0P,0,2(4),0,2,2,4,"2,000¥",,SR5:R5.0,
25,Small,NULL,NULL,Pelican,4,2P,1,2(1),0,2,2,2,"4,000¥",,SR5:R5.0,
26,Small,NULL,NULL,"Prairie Dog",2/4,2G,1,2(0),3,3,4,12F,"8,000¥",,SR5:R5.0,
27,Small,NULL,NULL,Proletarian,4/2,2G,1,2(1),0,2,2,6,"4,000¥",,SR5:R5.0,
28,Small,NULL,NULL,"Renraku Dove",4,2P,1,2(1),0,2,2,4,"5,000¥",,SR5:R5.0,
29,Small,NULL,NULL,"Sentry V",4/-,1G,1,2(0),6,3,2,4R,"4,000¥",,SR5:R5.0,
30,Small,NULL,NULL,"Seven (Wheelie)",4/2,2G,1,1(3),0,1,1,-,"2,000¥",,SR5:R5.0,
31,Small,NULL,NULL,"Seven (Treads)",3,2G,1,1(3),0,1,1,2,"2,000¥",,SR5:R5.0,
32,Small,NULL,NULL,"Seven (Dirty)",2/4,2G,1,1(3),0,1,1,2,"2,000¥",,SR5:R5.0,
33,Small,NULL,NULL,"Seven (Quad)",4,1G,1,1(3),0,1,1,4,"2,000¥",,SR5:R5.0,
34,Small,NULL,NULL,"Seven (Swims)",3,2W,1,1(3),0,1,1,4,"1,000¥",,SR5:R5.0,
35,Small,NULL,NULL,"Seven (Hovers)",4,1P,1,1(3),0,1,1,6,"4,000¥",,SR5:R5.0,
36,Small,NULL,NULL,"Seven (Soars)",3,2J,1,1(3),0,1,1,8,"4,000¥",,SR5:R5.0,
37,Small,NULL,NULL,"Sewer Snake",3,1G/1W,1/1,2(1),0,2,2,10,"6,000¥",,SR5:R5.0,
38,Small,NULL,NULL,Shamus,3,3G,1,4(0),4,3,8,10,"30,000¥",,SR5:R5.0,
39,Small,NULL,NULL,"Smoke Generator",3,1G,1,2(0),0,2,2,8,"4,000¥",,SR5:R5.0,
40,Small,NULL,NULL,Sundowner,3,4P,1,2(0),0,2,2,8,"10,000¥",,SR5:R5.0,
41,Small,NULL,NULL,Wolfhound,3,2J,1,2(1),0,2,4,12,"30,000¥",,SR5:R5.0,
42,Medium,Walker,Humanoid,"Ares Duelist",3,3,1,4,4,3,3,5R,"4,500¥","This medium-sized, roughly anthromorph walker drone is an oddity, some might say a novelty. It is designed to patrol on its two feet like a metahuman security guard and is equipped with blade-arms as  its primary armaments. Furthermore, it has been stylized so its outer chassis represents the traditional oyoroi samurai armor worn by the Renraku Red Samurai, perhaps a subtle jab at a competing mega. A niche item that is seldom fielded, the duelist has two distinct advantages: its humanoid profile allows it to be mistaken for a more-versatile metahuman guard at a distance, making it useful at facilities guarded by skeleton crews, and its blade-arms are allegedly marginally more effective at combating spirits than the traditional drone combat payloads of guns and more guns. This drone comes with a unique Rating 3 Targeting (Swords) autosoft and mounts a pair of standard swords in special weapon mounts. (The mounted swords cannot be replaced with other weapons, but additional weapon mounts may be installed using the normal rules.) This drone is operated with the Pilot Walker skill.",Core,
43,Medium,Groundcraft,Quadruped,"GM-Nissan Doberman",5,3,1,4,4,3,3,4R,"5,000¥","This tracked perimeter-patrol drone can secure its designated area effectively during day or night conditions. It comes equipped with a standard weapon mount. This drone is operated with the Pilot Groundcraft skill.",Core,
44,Medium,Aircraft,Plane,"MCT-Nissan Roto-Drone",4,4,2,4,4,3,3,6,"5,000¥","The Roto-Drone is a simple, no-nonsense rotor-wing drone design that is highly modular and customizable. Treat its Body as 3 higher than its actual Rating for determining how many weapon mounts or customizations it can integrate. This drone is operated with the Pilot Aircraft skill.",Core,
45,Medium,NULL,NULL,Cheetah,4,6G,2,2(0),6,3,2,12R,"14,000¥",,SR5:R5.0,
46,Medium,NULL,NULL,"Evo Krokodil",3,2G/3W,1,3(1),6,2,2,8R,"12,000¥",,SR5:R5.0,
47,Medium,NULL,NULL,"F-B Kull",3,4P,2,3(3),0,3,2,4,"10,000¥",,SR5:R5.0,
48,Medium,NULL,NULL,LEBD-2,4,2P,1,3(0),9,4,4,12R,"20,000¥",,SR5:R5.0,
49,Medium,NULL,NULL,Steed,4/2,1G,1,3(1),0,2,2,2,"4,000¥",,SR5:R5.0,
50,Medium,NULL,NULL,Tunneler,3,0P,0,3(2),6,2,2,8R,"10,000¥",,SR5:R5.0,
51,Large,Aircraft,Plane,"Cyberspace Designs Dalmation",5,5,3,5,5,3,3,6R,"10,000¥","This large and robust VTOL recon drone is capable of hovering and has a sturdy frame for its light weight. It is about the size of a lawn mower when stored, and when deployed is the size of a large hang glider. Lone Star and Knight Errant have both licensed the design for urban surveillance and patrol duties. The Dalmatian is operated with the Pilot Aircraft skill.",Core,
52,Large,Groundcraft,Quadruped,"Steel Lynx Combat Drone",5,4,2,6,12,3,3,10R,"25,000¥","A hardened ground combat machine, the Steel Lynx possesses four wheeled legs and a heavy weapon mount. It is operated with the Pilot Groundcraft skill.",Core,
53,Large,NULL,NULL,Malakim,3,6P,2,4(0),9,4,4,20F,"40,000¥",,SR5:R5.0,
54,Large,NULL,NULL,Matilda,1,2G,1,8,8,2,1,12R,"18,000¥",,SR5:R5.0,
55,Large,NULL,NULL,MediCart,5,5G,1,6(2),5,4,4,6,"10,000¥",,SR5:R5.0,
56,Large,NULL,NULL,Mule,4,1G,1,4(3),6,2,2,4,"8,000¥",,SR5:R5.0,
57,Large,NULL,NULL,Neptune,2,3W,1,5(0),3,4,3,10R,"17,500¥",,SR5:R5.0,
58,Large,NULL,NULL,Paladin,5,4G,1,5(0),18,3,2,8R,"5,000¥",,SR5:R5.0,
59,Large,NULL,NULL,Tower,2,1P,1,4(0),6,2,2,8,"10,000¥",,SR5:R5.0,
60,Huge,NULL,NULL,"Ares KN-Y0 (Deimos)",3,2G,1,6(0),18,5,3,20F,"220,000¥",,SR5:R5.0,
61,Huge,NULL,NULL,"Ares KN-Y0 (Eris)",3,2G,1,6(0),18,5,3,24F,"270,000¥",,SR5:R5.0,
62,Huge,NULL,NULL,"Ares KN-Y0 (Phobos)",3,2G,1,6(0),18,5,3,16F,"250,000¥",,SR5:R5.0,
63,Huge,NULL,NULL,"Avenging Angel",3,6J,2,6(0),12,6,6,40F,"1,000,000¥",,SR5:R5.0,
64,Huge,NULL,NULL,Kodiak,2/4,2G,1,6(2),12,2,2,12R,"40,000¥",,SR5:R5.0,
65,Anthro,NULL,NULL,"Criado Juan",2,2G,1,2,0,2,2,2,"8,000¥",,SR5:R5.0,
66,Anthro,NULL,NULL,Direktionssekretar,4,4G,2,4,3,4,4,12R,"40,000¥",,SR5:R5.0,
67,Anthro,NULL,NULL,Juggernaught,3,4G,1,6,12,3,3,14R,"100,000¥",,SR5:R5.0,
68,Anthro,NULL,NULL,Kenchiku-Kikai,2,2G,1,5,3,2,2,8R,"20,000¥",,SR5:R5.0,
69,Anthro,NULL,NULL,"Little Buddy",2,1G,1,1,0,2,2,4,"2,000¥",,SR5:R5.0,
70,Anthro,NULL,NULL,"Shiawase i-Doll",3,3G,1,3,0,3,3,4,"20,000¥",,SR5:R5.0,
71,Missile,NULL,NULL,"Garuda 6",3J,6J,2/4,2,2,4,3,20F,"8,500¥",,SR5:R5.0,
